timestamp,event,ear,mar
2026-08-16 10:45:02,DROWSY,0.217,25.347
2026-08-16 10:45:02,DROWSY,0.217,25.347
2026-08-16 10:45:02,DROWSY,0.217,25.347
2026-08-16 10:45:02,DROWSY,0.247,23.688
2026-08-16 10:45:02,DROWSY,0.247,23.688
2026-08-16 10:45:02,DROWSY,0.247,23.688
2026-08-16 10:45:02,ALERT,0.255,22.008
2026-08-16 10:45:02,ALERT,0.255,22.008
2026-08-16 10:45:02,ALERT,0.255,22.008
2026-08-16 10:45:02,ALERT,0.256,24.687
2026-08-16 10:45:03,ALERT,0.256,24.687
2026-08-16 10:45:03,ALERT,0.256,24.687
2026-08-16 10:45:03,DROWSY,0.182,24.347
2026-08-16 10:45:03,DROWSY,0.182,24.347
2026-08-16 10:45:03,DROWSY,0.182,24.347
2026-08-16 10:45:03,DROWSY,0.164,23.015
2026-08-16 10:45:03,DROWSY,0.164,23.015
2026-08-16 10:45:03,DROWSY,0.164,23.015
2026-08-16 10:45:03,DROWSY,0.24,24.007
2026-08-16 10:45:03,DROWSY,0.24,24.007
2026-08-16 10:45:03,DROWSY,0.24,24.007
2026-08-16 10:45:03,DROWSY,0.159,22.0
2026-08-16 10:45:03,DROWSY,0.159,22.0
2026-08-16 10:45:03,DROWSY,0.159,22.0
2026-08-16 10:45:03,DROWSY,0.195,23.681
2026-08-16 10:45:03,DROWSY,0.195,23.681
2026-08-16 10:45:03,DROWSY,0.195,23.681
2026-08-16 10:45:03,DROWSY,0.189,20.706
2026-08-16 10:45:03,DROWSY,0.189,20.706
2026-08-16 10:45:03,DROWSY,0.189,20.706
2026-08-16 10:45:03,DROWSY,0.243,24.347
2026-08-16 10:45:03,DROWSY,0.243,24.347
2026-08-16 10:45:03,DROWSY,0.243,24.347
2026-08-16 10:45:03,DROWSY,0.243,24.347
2026-08-16 10:45:03,DROWSY,0.24,24.68
2026-08-16 10:45:03,DROWSY,0.24,24.68
2026-08-16 10:45:03,DROWSY,0.24,24.68
2026-08-16 10:45:03,DROWSY,0.199,25.033
2026-08-16 10:45:03,DROWSY,0.199,25.033
2026-08-16 10:45:03,DROWSY,0.199,25.033
2026-08-16 10:45:03,DROWSY,0.137,23.341
2026-08-16 10:45:04,DROWSY,0.137,23.341
2026-08-16 10:45:04,DROWSY,0.137,23.341
2026-08-16 10:45:04,DROWSY,0.214,26.679
2026-08-16 10:45:04,DROWSY,0.214,26.679
2026-08-16 10:45:04,DROWSY,0.214,26.679
2026-08-16 10:45:04,DROWSY,0.21,24.673
2026-08-16 10:45:04,DROWSY,0.21,24.673
2026-08-16 10:45:04,DROWSY,0.21,24.673
2026-08-16 10:45:04,DROWSY,0.155,23.348
2026-08-16 10:45:04,DROWSY,0.155,23.348
2026-08-16 10:45:04,DROWSY,0.155,23.348
2026-08-16 10:45:04,DROWSY,0.119,24.007
2026-08-16 10:45:04,DROWSY,0.119,24.007
2026-08-16 10:45:04,DROWSY,0.119,24.007
2026-08-16 10:45:04,DROWSY,0.214,23.007
2026-08-16 10:45:04,DROWSY,0.214,23.007
2026-08-16 10:45:04,DROWSY,0.214,23.007
2026-08-16 10:45:04,DROWSY,0.22,24.673
2026-08-16 10:45:04,DROWSY,0.22,24.673
2026-08-16 10:45:04,DROWSY,0.22,24.673
2026-08-16 10:45:04,DROWSY,0.198,24.007
2026-08-16 10:45:04,DROWSY,0.198,24.007
2026-08-16 10:45:04,DROWSY,0.198,24.007
2026-08-16 10:45:04,DROWSY,0.238,22.341
2026-08-16 10:45:04,DROWSY,0.238,22.341
2026-08-16 10:45:04,DROWSY,0.238,22.341
2026-08-16 10:45:04,DROWSY,0.2,24.014
2026-08-16 10:45:04,DROWSY,0.2,24.014
2026-08-16 10:45:04,DROWSY,0.2,24.014
2026-08-16 10:45:04,DROWSY,0.229,21.674
2026-08-16 10:45:05,DROWSY,0.229,21.674
2026-08-16 10:45:05,DROWSY,0.229,21.674
2026-08-16 10:45:05,ALERT,0.269,22.667
2026-08-16 10:45:05,ALERT,0.269,22.667
2026-08-16 10:45:05,ALERT,0.269,22.667
2026-08-16 10:45:05,DROWSY,0.239,23.007
2026-08-16 10:45:05,DROWSY,0.239,23.007
2026-08-16 10:45:05,DROWSY,0.239,23.007
2026-08-16 10:45:05,ALERT,0.262,22.674
2026-08-16 10:45:05,ALERT,0.262,22.674
2026-08-16 10:45:05,ALERT,0.262,22.674
2026-08-16 10:45:05,DROWSY,0.197,22.681
2026-08-16 10:45:05,DROWSY,0.197,22.681
2026-08-16 10:45:05,DROWSY,0.197,22.681
2026-08-16 10:45:05,DROWSY,0.236,21.341
2026-08-16 10:45:05,DROWSY,0.236,21.341
2026-08-16 10:45:05,DROWSY,0.236,21.341
2026-08-16 10:45:05,ALERT,0.263,20.017
2026-08-16 10:45:05,ALERT,0.263,20.017
2026-08-16 10:45:05,ALERT,0.263,20.017
2026-08-16 10:45:07,DROWSY,0.166,0.333
2026-08-16 10:45:10,DROWSY,0.242,5.394
2026-08-17 10:05:51,DROWSY,0.184,0.805
2026-08-17 10:06:06,DROWSY,0.233,3.708
2026-08-17 10:06:11,DROWSY,0.15,20.738
2026-08-17 10:06:11,DROWSY,0.15,20.738
2026-08-17 10:06:11,DROWSY,0.138,21.381
2026-08-17 10:06:11,DROWSY,0.138,21.381
2026-08-17 10:06:13,DROWSY,0.16,23.681
2026-08-17 10:06:13,DROWSY,0.16,23.681
2026-08-17 10:06:13,DROWSY,0.2,16.393
